Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1," I saw you in green velvet. wide full sleeves seated in front of a fireplace. our house made somehow more gracious. and you said ""There are stars in your hair""— it was truth I brought down with me",39
Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, to this sullen and dingy place that we must make golden make precious and mythical somehow. it is our nature. and it is truth. that we came here. I told you. from other planets where we were lords. we were sent here.,43
Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, for some purpose the golden mask I had seen before. that fitted so beautifully over your face. did not return nor did that face of a bull you had acquired amid northern peoples. nomads. the Gobi desert,38
Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1, I did not see those tents again. nor the wagons infinitely slow on the infinitely windy plains. so cold. every star in the sky was a different color the sky itself a tangled tapestry. glowing but almost. I could see the planet from which we had come,48
Poet_1,non-suicidal,>>Buddhist New Year Song,poem#1," I could not remember (then) what our purpose was but remembered the name Mahakala. in the dawn in the dawn confronted Shiva. the cold light revealed the ""mindborn"" worlds. as simply that. I watched them propagated. flowing out.",39
Poet_1,non-suicidal,>>Buddhist New Year Song,poem#2, or. more simply. one mirror reflecting another. then broke the mirrors. you were no longer in sight nor any purpose. stared at this new blackness the mindborn worlds fled. and the mind turned off: a madness. or a beginning?,40
Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, for Alan This. then. is the gift the world has given me (you have given me) softly the snow cupped in hollows,23
Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, lying on the surface of the pond matching my long white candles which stand at the window which will burn at dusk while the snow fills up our valley,30
Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#2, this hollow no friend will wander down no one arriving brown from Mexico from the sunfields of California. bearing pot they are scattered now. dead or silent,28
Poet_1,non-suicidal,>>First Snow. Kerhonkson,poem#3, or blasted to madness by the howling brightness of our once common vision and this gift of yours— white silence filling the contours of my life.,27
Poet_1,non-suicidal,>> Paracelsus: - Poem by Diane di Prima,poem#3, Extract the juice which is itself a Light. Pulp. manna. gentle Theriasin. ergot like mold on flame. these red leaves bursting,22
Poet_1,non-suicidal,>> Paracelsus: - Poem by Diane di Prima,poem#3, from mesquite by the side of dry creekbed. Extract the tar. the sticky substance heart,16
Poet_1,non-suicidal,>> Paracelsus: - Poem by Diane di Prima,poem#3, of things (each plant a star. extract the juice of stars by circular stillation smear,16
Poet_1,non-suicidal,>> Paracelsus: - Poem by Diane di Prima,poem#3, the inner man w/the coction till he burn like worms of light in quicksilver not the false puffballs of marshfire. extract,22
Poet_1,non-suicidal,>> Paracelsus: - Poem by Diane di Prima,poem#3, the heart of the empty heart it is full of the star soul that paces fierce in the deeps of earth the Red Man.,25
Poet_1,non-suicidal,>> Paracelsus: - Poem by Diane di Prima,poem#3, healer in furs who carries a club who carries the pale homunculus,13
Poet_1,non-suicidal,>> Paracelsus: - Poem by Diane di Prima,poem#3, in his belly. For you are angel. you call the soul from plants or pearls of ambergris out of the grudging sea.,23
