 I saw you in green velvet. wide full sleeves seated in front of a fireplace. our house made somehow more gracious. and you said "There are stars in your hair"— it was truth I brought down with me,non-suicidal
 The grace of my style. I’m a woman Phenomenally. Phenomenal woman. That’s me.,non-suicidal
 woman in Pakistan. Happy prints of an invisible time are illumined. My mouth agape rejects the solid air and,non-suicidal
 through the padding of the door. I cannot scream. A bone of fear clogs my throat. It is upon me. It is sunrise. with Hope,non-suicidal
 its arrogant rider. My mind. formerly quiescent in its snug encasement. is strained to look upon their rapturous visages. to let them enter even into me.,non-suicidal
 I am forced outside myself to mount the light and ride joined with Hope. Through all the bright hours I cling to expectation. until,non-suicidal
 darkness comes to reclaim me as its own. Hope fades. day is gone into its irredeemable place and I am thrown back into the familiar bonds of disconsolation.,non-suicidal
 Gloom crawls around lapping lasciviously between my toes. at my ankles. and it sucks the strands of my hair. It forgives my heady,non-suicidal
 fling with Hope. I am joined again into its greedy arms.,non-suicidal
 Why are you beset with gloom? ’Cause I walk like I've got oil wells Pumping in my living room. Just like moons and like suns. With the certainty of tides.,non-suicidal
 Just like hopes springing high. Still I'll rise. Did you want to see me broken? Bowed head and lowered eyes? Shoulders falling down like teardrops.,non-suicidal
 Weakened by my soulful cries? Does my haughtiness offend you? Don't you take it awful hard ’Cause I laugh like I've got gold mines Diggin’ in my own backyard.,non-suicidal
 I rise I rise I rise.,non-suicidal
 The supper bell was ringing as Neil strode- - A bucket of warm milk in either hand; The cat and her five kittens at her heels- - Down through the yellow tansy in the lane Where Tod and I were washing in the trough-- -,non-suicidal
 We'd laid the pipe last summer from the hills - - And said. his weather eye cocked toward the south. "We're in for rain by morning. The wind has changed. So we'll be finishing the hay tonight." Tod lifted his black curly head. from which,non-suicidal
 I looked away. What could a fellow do? And Nancy'd promised she would go with me . . . Neil turned and went on slowly to the house. His shirt was stained across the back with sweat; He looked dog-tired. We all were. We'd been up,non-suicidal
 But Tod was mad - - you couldn't blame him much - - "Don't be a fool!" he snapped. "Neil thinks because We're kids that he can run us." Then Maurine - - Neil's wife: she's kind of little-like and thin From over-work and worry. but sure good,non-suicidal
 To Tod and me - - we'd lived with her and Neil Since Dad and Mother died - -Maurine then called. "Your suppers's hot and waiting. Come and get it. boys." So when we'd wiped upon the roller-towel Beside the kitchen door. we dragged our chairs,non-suicidal
 Hot biscuits get blue ribbons at the Fair - - And no one talked. till. belts let out a notch. Our chairs tipped back against the wall. Neil said. As he lit his pipe. "What about it. kids?" Maurine's brown eyes were pleading. go with him - -,non-suicidal
 As any alder tree. She dances too Like willows swaying in April wind - - But Nancy Saunders comes of farmer stock: "Next week. then. Karl." she said. "when haying's done." Neil had the big greys hitched up to the rick,non-suicidal
 When we ran to the barn. So Tod and I Climbed in the back and sat with dangling heels As Prince and Nelly ambled down the lane Between the daisies and the Bouncing Bet. It was a different world from afternoon.,non-suicidal
 The air as yellow-cool as buttercups. The sun had set; the sky. no longer fiery-blue. Was fleeced with lamb's wool clouds. and these Were finged with wild rose pink. I looked at Tod And Neil. and wondered if they noticed too.,non-suicidal
 I couldn't see Neil's features. but his back Looked rested-like. Tod sort of sighed. and chewed A clover stalk . . . and when a t last we slide The creaking gate bars out. and rattled in The west-end meadow - - the sightliest spot,non-suicidal
 In all Glenacres any time of day - - It was so beautiful now in the dusk That something caught me in the throat Like Christmas carols on the radio . . . Long purple shadows from the fir trees lay,non-suicidal
 Across the cocks stubble. It was so still That we could hear the falls of Cedar Creek . . . A wood thrush in the hazel bushes piped One sweet high note; an owl called to his mate; White foxgloves glowed like candles by the fence.,non-suicidal
 In place of choking dust. there now was dew. As Tod and I forked up the hay to Neil. Who stacked as fast as two of us could pitch. The fragrance made me think of Nancy's hair . . . With every load. the magic grew. A star,non-suicidal
 Rose in the west . . . We worked with scarce a word. Oh. it was like our church with hymns and prayers On Sunday when the riding parson comes. Then as we took the last road in. the moon Came up behind the hill. and Tod and Neil,non-suicidal
 And I. the horses and the meadows. all Were silvered with its light. and suddenly I was as far away from Tod. as if I swam across a lake and left him. My own brother. on the farther shore.,non-suicidal
 My heart cried out. but there was no reply . . . Between a field and hayloft. I grew up . . . Toward morning I half-awakened to a sound Of raindrops pelting on the attic roof.,non-suicidal
 There will be snow. Winds know. Zinnias know And I - Why must there be for me,non-suicidal
 Only the way back. Or on? There is this quiet day. This yellow tree...,non-suicidal
 I walk to the corner And I walk back,non-suicidal
 To give to you virginity untouched? Or. maybe. you don’t want to be the endless. Because you charmed by you yourself too much? For mother’s eyes. you’re always the reflection. Of springy days. left very far behind.,non-suicidal
 And. in old age. you’ll find the consolation. In your youth’s windows of the same blessed kind. But having circled your life just by your fortune. Will die you self. your image and your virtue.,non-suicidal
 My dear waster. you unwisely spend Your charming legacy in your self-liking madness. Nature doesn’t give these charms to us. it lends Them to us. free. in liberty and greatness. Oh. beauteous miser. you’re glad to make your.,non-suicidal
 The thing that you’ve received to pass to others. You low hide the treasures. but therefore. Not making self more prosperous. rather. You strike your bargains just with you yourself. Loosing in them your profit’s main amount;,non-suicidal
 And in an hour. world is to be left. What will be written in your last account? And the sweet image of the future times Will fell in grave with you – not realized.,non-suicidal
 The canning time. with its exquisite craft. Secretly makes a feast for our eyes. While in a run. the circled one and apt. Carrying away all that was bliss for us. The mighty stream of hours and days,non-suicidal
 Leads virgin summer into winter’s dusk. Where leaves are absent. and a trees’ sop stays Dead like the earth. with a white cloak masked. And just aroma of the flow’rs fresh – The flying elf imprisoned in a glass –,non-suicidal
 Never allow the impassive hand Of grayish winter to access your garden. Until you’ve gathered flow’rs off a bed. To have your spring in a glass flagon gardened. Like one. who’d given priceless grant to men.,non-suicidal
 And then received it back with a good profit. You’ll be glad to return you self again To you yourself with ten times more of all it. Ten more times you’ll leave on this great earth. Ten more times repeated in your children.,non-suicidal
 to this sullen and dingy place that we must make golden make precious and mythical somehow. it is our nature. and it is truth. that we came here. I told you. from other planets where we were lords. we were sent here.,non-suicidal
 Which shaded herds before in summer noon. And nod us dense beards of the grayish sheaves From solemn carts – to join their deathly swoon – I think about your unearthly charms. About time when they’ll be forced to wane.,non-suicidal
 How can I ever prove that you were fine. Leaving my page in the time-river flown? The Lord does know. that shy verse of mine. Could say no more than the vault’s gray stone. If I make try to leave them your portrait.,non-suicidal
 Sometimes it’s hidden by a nasty weather. The Nature sends to us her caresses and pine. In her chanced whims not knowing a measure. But your life’s day is of the constant length. It’s summer’s fresh and full of sunny favor.,non-suicidal
 buying scads of new poems from all corners of the earth then head to the all-night Tower Records full of drag queens & revolutionaries. to get a few songs And dig it. City Lights still here. like some old lighthouse though all the rest is gone.,non-suicidal
 The woman’s face! But with much more perfection. It was created by the nature’s art Tho’ sweet like woman. you defy attraction For adulatory. oh. king-queen of my heart. Your gentle look voids of a play. unfair.,non-suicidal
 But gilds all things around with its shine; And. full of manhood. with its lordly manner It slaves your friends and pierces ladies fine. Nature planned you to be the female-wonder. But brought by passion to her own knees.,non-suicidal
 She put us both mercilessly asunder. And pleasured women with your beauty’s bliss. Let it be so. only I require: Love me… and grant them with your passion’s fire.,non-suicidal
 I don’t compete with architects of verse. Which. as a gift. to their she-idols worshiped Present the whole heaven with the earth And all blue waters of the global ocean. Let them. for decoration of their lines.,non-suicidal
